museum,place
"http://dbpedia.org/resource/Lapidarium,_Kerch",http://dbpedia.org/resource/R.Luxemburg_str._24/14
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Lima
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Peru
http://dbpedia.org/resource/Larco_Museum,http://dbpedia.org/resource/Pueblo_Libre
http://dbpedia.org/resource/Las_Vegas_Walk_of_Stars,http://dbpedia.org/resource/Nevada
http://dbpedia.org/resource/Las_Vegas_Walk_of_Stars,http://dbpedia.org/resource/Las_Vegas_Strip
http://dbpedia.org/resource/Las_Vegas_Walk_of_Stars,http://dbpedia.org/resource/Las_Vegas
http://dbpedia.org/resource/Latin_America_Memorial,http://dbpedia.org/resource/Barra_Funda_(district_of_São_Paulo)
http://dbpedia.org/resource/Latin_America_Memorial,http://dbpedia.org/resource/São_Paulo
http://dbpedia.org/resource/Latin_America_Memorial,http://dbpedia.org/resource/Brazil
http://dbpedia.org/resource/Latvian_Museum,http://dbpedia.org/resource/Maryland
http://dbpedia.org/resource/Latvian_Museum,"http://dbpedia.org/resource/Rockville,_Maryland"
http://dbpedia.org/resource/Lauba,http://dbpedia.org/resource/Zagreb
http://dbpedia.org/resource/Lauba,http://dbpedia.org/resource/Croatia
http://dbpedia.org/resource/Laura_Seddon_Greeting_Card_Collection,http://dbpedia.org/resource/Sir_Kenneth_Green_Library
http://dbpedia.org/resource/Laurel_Museum,"http://dbpedia.org/resource/Laurel,_Maryland"
http://dbpedia.org/resource/Law_Society_of_Upper_Canada_Archives,http://dbpedia.org/resource/Ontario
http://dbpedia.org/resource/Law_Society_of_Upper_Canada_Archives,http://dbpedia.org/resource/Osgoode_Hall
http://dbpedia.org/resource/Lawrence_Hall_of_Science,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Lawrence_Hall_of_Science,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lawrence_Hall_of_Science,"http://dbpedia.org/resource/Berkeley,_California"
http://dbpedia.org/resource/Le_Magasin,http://dbpedia.org/resource/France
http://dbpedia.org/resource/Le_Musée_de_Saint-Boniface_Museum,http://dbpedia.org/resource/Manitoba
http://dbpedia.org/resource/Le_Musée_de_Saint-Boniface_Museum,http://dbpedia.org/resource/Winnipeg
http://dbpedia.org/resource/Leavenworth_Nutcracker_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Leavenworth_Nutcracker_Museum,"http://dbpedia.org/resource/Leavenworth,_Washington"
http://dbpedia.org/resource/Lebanese_Heritage_Museum,http://dbpedia.org/resource/Keserwan_District
http://dbpedia.org/resource/Lebanese_Heritage_Museum,http://dbpedia.org/resource/Mount_Lebanon_Governorate
http://dbpedia.org/resource/Lebanese_Heritage_Museum,http://dbpedia.org/resource/Jounieh
http://dbpedia.org/resource/Lebanese_Military_Museum,http://dbpedia.org/resource/Baabda_District
http://dbpedia.org/resource/Lebanese_Military_Museum,http://dbpedia.org/resource/Yarze
http://dbpedia.org/resource/Leeds_City_Museum,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Leeds_City_Museum,http://dbpedia.org/resource/West_Yorkshire
http://dbpedia.org/resource/Leeds_City_Museum,http://dbpedia.org/resource/Leeds
http://dbpedia.org/resource/Leeds_City_Museum,http://dbpedia.org/resource/Millennium_Square_(Leeds)
http://dbpedia.org/resource/Leepa-Rattner_Museum_of_Art,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Leepa-Rattner_Museum_of_Art,"http://dbpedia.org/resource/Tarpon_Springs,_Florida"
http://dbpedia.org/resource/Leesburg_Heritage_Museum,"http://dbpedia.org/resource/Leesburg,_Florida"
http://dbpedia.org/resource/Lefferts_Historic_House,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Lefferts_Historic_House,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lefferts_Historic_House,http://dbpedia.org/resource/Brooklyn
http://dbpedia.org/resource/Lefferts_Historic_House,http://dbpedia.org/resource/Prospect_Park_(Brooklyn)
http://dbpedia.org/resource/Legion_of_Honor_(museum),http://dbpedia.org/resource/California
http://dbpedia.org/resource/Legion_of_Honor_(museum),http://dbpedia.org/resource/San_Francisco
http://dbpedia.org/resource/Legion_of_Honor_(museum),http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lehi_Museum,http://dbpedia.org/resource/Tel_Aviv
http://dbpedia.org/resource/Lehi_Museum,http://dbpedia.org/resource/Israel
http://dbpedia.org/resource/Lehigh_County_Historical_Society,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Lehigh_County_Historical_Society,"http://dbpedia.org/resource/Allentown,_Pennsylvania"
http://dbpedia.org/resource/Leigh_Yawkey_Woodson_Art_Museum,"http://dbpedia.org/resource/Wausau,_Wisconsin"
http://dbpedia.org/resource/Lelooska_Museum,"http://dbpedia.org/resource/Cowlitz_County,_Washington"
http://dbpedia.org/resource/Lelooska_Museum,http://dbpedia.org/resource/Washington_(state)
http://dbpedia.org/resource/Lelooska_Museum,"http://dbpedia.org/resource/Ariel,_Washington"
"http://dbpedia.org/resource/Leo_Baeck_Institute,_New_York",http://dbpedia.org/resource/New_York
"http://dbpedia.org/resource/Leo_Baeck_Institute,_New_York",http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/Leptis_Magna_Museum,"http://dbpedia.org/resource/Khoms,_Libya"
http://dbpedia.org/resource/Leptis_Magna_Museum,http://dbpedia.org/resource/Libya
http://dbpedia.org/resource/Les_Fusiliers_Mont-Royal__Museum__1,http://dbpedia.org/resource/Montreal
http://dbpedia.org/resource/Les_Fusiliers_Mont-Royal__Museum__1,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Les_Fusiliers_de_Sherbrooke__Regimental_Museum__1,http://dbpedia.org/resource/Sherbrooke
http://dbpedia.org/resource/Les_Voltigeurs_de_Québec__museum__1,http://dbpedia.org/resource/Quebec_City
http://dbpedia.org/resource/Lesbian_Herstory_Archives,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Lesbian_Herstory_Archives,http://dbpedia.org/resource/Park_Slope
http://dbpedia.org/resource/Lesbian_Herstory_Archives,http://dbpedia.org/resource/Brooklyn
http://dbpedia.org/resource/Leventis_Gallery,http://dbpedia.org/resource/Nicosia
http://dbpedia.org/resource/Leventis_Gallery,http://dbpedia.org/resource/Cyprus
http://dbpedia.org/resource/Leventis_Municipal_Museum_of_Nicosia,http://dbpedia.org/resource/Nicosia
http://dbpedia.org/resource/Leventis_Municipal_Museum_of_Nicosia,http://dbpedia.org/resource/Ledra_Street
http://dbpedia.org/resource/Leverian_collection,http://dbpedia.org/resource/Leicester_Square
http://dbpedia.org/resource/Leverian_collection,http://dbpedia.org/resource/London
http://dbpedia.org/resource/Lexington_County_Museum,"http://dbpedia.org/resource/Lexington,_South_Carolina"
http://dbpedia.org/resource/Lexington_History_Center,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Lexington_History_Center,"http://dbpedia.org/resource/Lexington,_Kentucky"
http://dbpedia.org/resource/Liang_Yi_Museum,http://dbpedia.org/resource/Sheung_Wan
http://dbpedia.org/resource/Liang_Yi_Museum,http://dbpedia.org/resource/Hong_Kong
http://dbpedia.org/resource/Liang_Yi_Museum,http://dbpedia.org/resource/Hollywood_Road
http://dbpedia.org/resource/Liaoning_Provincial_Museum,http://dbpedia.org/resource/Shenyang
