artwork||museum
http://dbpedia.org/resource/A_sergeant_of_the_Light_Horse||http://dbpedia.org/resource/National_Gallery_of_Victoria
http://dbpedia.org/resource/Aaron_Monument||http://dbpedia.org/resource/Miller_Park_(Milwaukee)
http://dbpedia.org/resource/Abaporu||http://dbpedia.org/resource/Private_collection
http://dbpedia.org/resource/Aboriginal_Memorial||http://dbpedia.org/resource/National_Gallery_of_Australia
http://dbpedia.org/resource/Above_and_Below||http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/Abraham_Lincoln:_The_Head_of_State||http://dbpedia.org/resource/Grant_Park_(Chicago)
http://dbpedia.org/resource/Abraham_Lincoln_(French_1920)||http://dbpedia.org/resource/Lincoln_Memorial
http://dbpedia.org/resource/Abraham_Lincoln_(Healy)||http://dbpedia.org/resource/White_House
http://dbpedia.org/resource/Abraham_Lincoln_(Healy)||http://dbpedia.org/resource/State_Dining_Room
http://dbpedia.org/resource/Abraham_Lincoln_(bust_by_Jones)||http://dbpedia.org/resource/Indiana_State_House
http://dbpedia.org/resource/Acton_(Turrell)||http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/Actor_Arashi_Rikan_II_as_Osome_(Ry%C5%ABsai_Shigeharu)||http://dbpedia.org/resource/Royal_Ontario_Museum
http://dbpedia.org/resource/Adam_and_Eve_(D%C3%BCrer)||http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/Adoration_of_the_Child_(Bosch)||http://dbpedia.org/resource/Wallraf-Richartz_Museum
http://dbpedia.org/resource/Adoration_of_the_Child_(Correggio)||http://dbpedia.org/resource/Florence
http://dbpedia.org/resource/Adoration_of_the_Child_(Correggio)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Child_(Gentile_da_Fabriano)||http://dbpedia.org/resource/Los_Angeles
http://dbpedia.org/resource/Adoration_of_the_Child_(Gentile_da_Fabriano)||http://dbpedia.org/resource/Getty_Center
http://dbpedia.org/resource/Adoration_of_the_Magi_(Correggio)||http://dbpedia.org/resource/Pinacoteca_di_Brera
http://dbpedia.org/resource/Adoration_of_the_Magi_(Filippino_Lippi)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Magi_(Gentile_da_Fabriano)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Magi_(Leonardo)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Magi_(Lorenzo_Monaco)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Magi_(Mantegna)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Magi_(Ospedale_degli_Innocenti)||http://dbpedia.org/resource/Ospedale_degli_Innocenti
http://dbpedia.org/resource/Adoration_of_the_Magi_(Perugino)||http://dbpedia.org/resource/Galleria_Nazionale_dell'Umbria
http://dbpedia.org/resource/Adoration_of_the_Magi_(Rubens)||http://dbpedia.org/resource/King's_College_Chapel,_Cambridge
http://dbpedia.org/resource/Adoration_of_the_Magi_(Stefano_da_Verona)||http://dbpedia.org/resource/Pinacoteca_di_Brera
http://dbpedia.org/resource/Adoration_of_the_Magi_(Vel%C3%A1zquez)||http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/Adoration_of_the_Magi_of_1475_(Botticelli)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Shepherds_(Giorgione)||http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Adoration_of_the_Shepherds_(Lorenzo_di_Credi)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Adoration_of_the_Shepherds_(Mantegna)||http://dbpedia.org/resource/Metropolitan_Museum_of_Art
http://dbpedia.org/resource/Adoration_of_the_Trinity||http://dbpedia.org/resource/Kunsthistorisches_Museum
http://dbpedia.org/resource/Adrianus_Jacobus_Zuyderland_(Van_Gogh_series)||http://dbpedia.org/resource/Worcester_Art_Museum
http://dbpedia.org/resource/Aeneas,_Anchises,_and_Ascanius||http://dbpedia.org/resource/Galleria_Borghese
http://dbpedia.org/resource/Aert_van_den_Bossche__Master_of_the_Embroidered_Foliage_Virgin_and_Child__1||http://dbpedia.org/resource/Minnesota
http://dbpedia.org/resource/Aert_van_den_Bossche__Master_of_the_Embroidered_Foliage_Virgin_and_Child__1||http://dbpedia.org/resource/Minneapolis_Institute_of_Arts
http://dbpedia.org/resource/Aert_van_den_Bossche__Master_of_the_Embroidered_Foliage_Virgin_and_Child__1||http://dbpedia.org/resource/Minneapolis
http://dbpedia.org/resource/Afternoon_Tea||http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/Agony_in_the_Garden_(Bellini)||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Agony_in_the_Garden_(Perugino)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Agostina_Segatori_Sitting_in_the_Caf%C3%A9_du_Tambourin||http://dbpedia.org/resource/Van_Gogh_Museum
http://dbpedia.org/resource/Agricola_I||http://dbpedia.org/resource/Hirshhorn_Museum_and_Sculpture_Garden
http://dbpedia.org/resource/Ahasuerus_and_Haman_at_the_Feast_of_Esther||http://dbpedia.org/resource/Pushkin_Museum
http://dbpedia.org/resource/Alamo_(sculpture)||http://dbpedia.org/resource/Astor_Place
http://dbpedia.org/resource/Alamo_(sculpture)||http://dbpedia.org/resource/Lafayette_Street
http://dbpedia.org/resource/Alba_Madonna||http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Albani_Torlonia_Polyptych||http://dbpedia.org/resource/Torlonia_Collection
http://dbpedia.org/resource/Albertine_i_politil%C3%A6gens_ventev%C3%A6relse||http://dbpedia.org/resource/National_Gallery_(Norway)
http://dbpedia.org/resource/Aldobrandini_Madonna||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Alexander_Mosaic||http://dbpedia.org/resource/Naples_National_Archaeological_Museum
http://dbpedia.org/resource/Alexandros_of_Antioch||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Alfonso_d'Avalos_Addressing_his_Troops||http://dbpedia.org/resource/Museo_del_Prado
