author,place
http://dbpedia.org/resource/A.E._Muthunayagam,http://dbpedia.org/resource/Nagercoil
http://dbpedia.org/resource/A.E._Muthunayagam,http://dbpedia.org/resource/Tamil_Nadu
http://dbpedia.org/resource/A.F.P._Hulsewé,http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/A.N._Rai,http://dbpedia.org/resource/Ghazipur
http://dbpedia.org/resource/A.N._Rai,http://dbpedia.org/resource/Uttar_Pradesh
http://dbpedia.org/resource/A._Bernard_Ackerman,"http://dbpedia.org/resource/Elizabeth,_New_Jersey"
http://dbpedia.org/resource/A._Blaine_Bowman,"http://dbpedia.org/resource/Ogden,_Utah"
http://dbpedia.org/resource/A._Carl_Helmholz,"http://dbpedia.org/resource/Evanston,_Illinois"
http://dbpedia.org/resource/A._Cemal_Eringen,http://dbpedia.org/resource/Kayseri
http://dbpedia.org/resource/A._David_Buckingham,http://dbpedia.org/resource/Sydney
http://dbpedia.org/resource/A._E._Douglass,"http://dbpedia.org/resource/Windsor,_Vermont"
http://dbpedia.org/resource/A._F._K._Organski,http://dbpedia.org/resource/Rome
http://dbpedia.org/resource/A._Gilbert_Wright,"http://dbpedia.org/resource/Carthage,_Illinois"
http://dbpedia.org/resource/A._J._Arkell,http://dbpedia.org/resource/Wye_with_Hinxhill
http://dbpedia.org/resource/A._J._Bernheim_Brush,"http://dbpedia.org/resource/Wilmington,_Delaware"
http://dbpedia.org/resource/A._James_Gregor,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._James_Gregor,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/A._L._Narayan,http://dbpedia.org/resource/Andhra_Pradesh
http://dbpedia.org/resource/A._L._Narayan,"http://dbpedia.org/resource/Mukkamala,_East_Godavari"
http://dbpedia.org/resource/A._M._Harun-ar-Rashid,http://dbpedia.org/resource/Barisal
http://dbpedia.org/resource/A._M._Mathai,http://dbpedia.org/resource/Kerala
http://dbpedia.org/resource/A._Maitland_Emmet,http://dbpedia.org/resource/Oxfordshire
http://dbpedia.org/resource/A._Maitland_Emmet,http://dbpedia.org/resource/West_Hendred
http://dbpedia.org/resource/A._Ranganadha_Rao,http://dbpedia.org/resource/Andhra_Pradesh
http://dbpedia.org/resource/A._Ranganadha_Rao,http://dbpedia.org/resource/Pithapuram
http://dbpedia.org/resource/A._Richard_Newton,http://dbpedia.org/resource/Melbourne
http://dbpedia.org/resource/A._Sivathanu_Pillai,http://dbpedia.org/resource/Nagercoil
http://dbpedia.org/resource/A._Sivathanu_Pillai,http://dbpedia.org/resource/Tamil_Nadu
http://dbpedia.org/resource/A._T._Hill,"http://dbpedia.org/resource/Cisne,_Illinois"
