author,place
http://dbpedia.org/resource/AJ_Michalka,"http://dbpedia.org/resource/Torrance,_California"
http://dbpedia.org/resource/AJ_Rafael,"http://dbpedia.org/resource/Moreno_Valley,_California"
http://dbpedia.org/resource/AKA_(rapper),http://dbpedia.org/resource/Cape_Town
http://dbpedia.org/resource/AKA_George,"http://dbpedia.org/resource/Rugby,_Warwickshire"
http://dbpedia.org/resource/AK_47_Mayanja,http://dbpedia.org/resource/Kampala
http://dbpedia.org/resource/AM_(musician),http://dbpedia.org/resource/Oklahoma
http://dbpedia.org/resource/ARASH_(composer),http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/ASAP_Ferg,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/ASAP_Ferg,http://dbpedia.org/resource/Harlem
http://dbpedia.org/resource/ASAP_Ferg,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/ASAP_Nast,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/ASAP_Nast,http://dbpedia.org/resource/Harlem
http://dbpedia.org/resource/ASAP_Rocky,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/ASAP_Rocky,http://dbpedia.org/resource/Manhattan
http://dbpedia.org/resource/ASAP_Rocky,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/ATB,http://dbpedia.org/resource/Saxony
http://dbpedia.org/resource/ATMA_(electronic_musician),http://dbpedia.org/resource/Sibiu
http://dbpedia.org/resource/A_Fine_Frenzy,http://dbpedia.org/resource/Washington_(state)
http://dbpedia.org/resource/A_Ge,http://dbpedia.org/resource/Liangping_County
http://dbpedia.org/resource/A_Grape_Dope,http://dbpedia.org/resource/North_Carolina
http://dbpedia.org/resource/A_Grape_Dope,"http://dbpedia.org/resource/Asheville,_North_Carolina"
http://dbpedia.org/resource/Aage_Lundvald,http://dbpedia.org/resource/Copenhagen
http://dbpedia.org/resource/Aakanksha_Jachak,http://dbpedia.org/resource/Indore
http://dbpedia.org/resource/Aakanksha_Jachak,http://dbpedia.org/resource/Madhya_Pradesh
http://dbpedia.org/resource/Aamir_Saleem,http://dbpedia.org/resource/Multan
http://dbpedia.org/resource/Aar_Maanta,http://dbpedia.org/resource/Jijiga
http://dbpedia.org/resource/Aaron_A._Brooks,http://dbpedia.org/resource/San_Francisco
http://dbpedia.org/resource/Aaron_Barker,http://dbpedia.org/resource/San_Antonio
http://dbpedia.org/resource/Aaron_Bedard,http://dbpedia.org/resource/Massachusetts
http://dbpedia.org/resource/Aaron_Bedard,http://dbpedia.org/resource/Worcester
http://dbpedia.org/resource/Aaron_Bohrod,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Aaron_Bruno,http://dbpedia.org/resource/California
http://dbpedia.org/resource/Aaron_Bruno,http://dbpedia.org/resource/Los_Angeles
http://dbpedia.org/resource/Aaron_Burckhard,"http://dbpedia.org/resource/Oakland,_California"
http://dbpedia.org/resource/Aaron_Cold,http://dbpedia.org/resource/Heidelberg
http://dbpedia.org/resource/Aaron_Cometbus,"http://dbpedia.org/resource/Berkeley,_California"
