author,place
http://dbpedia.org/resource/A._Amirthalingam,http://dbpedia.org/resource/Vaddukoddai
http://dbpedia.org/resource/A._Amirthalingam,http://dbpedia.org/resource/Pannagam
http://dbpedia.org/resource/A._C._Bonnell,http://dbpedia.org/resource/New_Jersey
http://dbpedia.org/resource/A._C._Clemons,"http://dbpedia.org/resource/Harris_County,_Texas"
http://dbpedia.org/resource/A._C._Clemons,http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/A._C._Gibbs,"http://dbpedia.org/resource/Cattaraugus_County,_New_York"
http://dbpedia.org/resource/A._Cavour_Chapman,"http://dbpedia.org/resource/Dorchester,_New_Brunswick"
http://dbpedia.org/resource/A._DeWade_Langley,"http://dbpedia.org/resource/Custer_County,_Oklahoma"
http://dbpedia.org/resource/A._G._Subburaman,http://dbpedia.org/resource/Tamil_Nadu
http://dbpedia.org/resource/A._Harry_Moore,"http://dbpedia.org/resource/Jersey_City,_New_Jersey"
http://dbpedia.org/resource/A._Homer_Byington,"http://dbpedia.org/resource/Herkimer_(village),_New_York"
http://dbpedia.org/resource/A._Homer_Byington,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._J._McNamara,http://dbpedia.org/resource/New_Orleans
http://dbpedia.org/resource/A._Jeff_McLemore,http://dbpedia.org/resource/Tennessee
http://dbpedia.org/resource/A._Jeff_McLemore,"http://dbpedia.org/resource/Spring_Hill,_Tennessee"
http://dbpedia.org/resource/A._K._A._Firoze_Noon,http://dbpedia.org/resource/Sreenagar_Upazila
http://dbpedia.org/resource/A._Leonard_Allen,"http://dbpedia.org/resource/Winnfield,_Louisiana"
http://dbpedia.org/resource/A._M._Azahari,http://dbpedia.org/resource/Labuan
http://dbpedia.org/resource/A._M._M._Naushad,http://dbpedia.org/resource/Sammanthurai
http://dbpedia.org/resource/A._P._Herbert,http://dbpedia.org/resource/Surrey
http://dbpedia.org/resource/A._P._Herbert,http://dbpedia.org/resource/Ashtead
http://dbpedia.org/resource/A._Piatt_Andrew,"http://dbpedia.org/resource/La_Porte,_Indiana"
http://dbpedia.org/resource/A._R._McCabe,http://dbpedia.org/resource/New_Westminster
http://dbpedia.org/resource/A._Raja,http://dbpedia.org/resource/Perambalur
http://dbpedia.org/resource/A._Raja,http://dbpedia.org/resource/Perambalur_district
http://dbpedia.org/resource/A._Raja,http://dbpedia.org/resource/Tamil_Nadu
http://dbpedia.org/resource/A._Ralph_Mollis,"http://dbpedia.org/resource/North_Providence,_Rhode_Island"
http://dbpedia.org/resource/A._Ross_Webster,"http://dbpedia.org/resource/Duluth,_Minnesota"
http://dbpedia.org/resource/A._S._J._Carnahan,http://dbpedia.org/resource/Missouri
http://dbpedia.org/resource/A._S._J._Carnahan,"http://dbpedia.org/resource/Ellsinore,_Missouri"
http://dbpedia.org/resource/A._Scott_Sloan,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._Scott_Sloan,"http://dbpedia.org/resource/Morrisville,_New_York"
http://dbpedia.org/resource/A._U._Fuimaono,http://dbpedia.org/resource/Faga'alu
http://dbpedia.org/resource/A._Victor_Donahey,"http://dbpedia.org/resource/Tuscarawas_County,_Ohio"
http://dbpedia.org/resource/A._Victor_Donahey,"http://dbpedia.org/resource/Perry_Township,_Tuscarawas_County,_Ohio"
http://dbpedia.org/resource/A._W._Norblad,http://dbpedia.org/resource/Malmö
http://dbpedia.org/resource/A._Walter_Norblad,http://dbpedia.org/resource/Michigan
http://dbpedia.org/resource/A._Walter_Norblad,"http://dbpedia.org/resource/Escanaba,_Michigan"
http://dbpedia.org/resource/A_C_Wharton,http://dbpedia.org/resource/Tennessee
http://dbpedia.org/resource/A_C_Wharton,"http://dbpedia.org/resource/Lebanon,_Tennessee"
http://dbpedia.org/resource/Aad_Kosto,http://dbpedia.org/resource/Oegstgeest
http://dbpedia.org/resource/Aaron_Bean,"http://dbpedia.org/resource/Fernandina_Beach,_Florida"
http://dbpedia.org/resource/Aaron_Dixon,http://dbpedia.org/resource/Chicago
http://dbpedia.org/resource/Aaron_Fletcher_Stevens,http://dbpedia.org/resource/New_Hampshire
http://dbpedia.org/resource/Aaron_Fletcher_Stevens,"http://dbpedia.org/resource/Derry,_New_Hampshire"
http://dbpedia.org/resource/Aaron_H._Cragin,http://dbpedia.org/resource/Vermont
http://dbpedia.org/resource/Aaron_H._Cragin,"http://dbpedia.org/resource/Weston,_Vermont"
http://dbpedia.org/resource/Aaron_Ogden,"http://dbpedia.org/resource/Elizabeth,_New_Jersey"
http://dbpedia.org/resource/Aaron_Peña,http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/Aaron_Peña,"http://dbpedia.org/resource/Austin,_Texas"
http://dbpedia.org/resource/Aaron_Van_Schaick_Cochrane,http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/Aaron_Van_Schaick_Cochrane,"http://dbpedia.org/resource/Coxsackie,_New_York"
http://dbpedia.org/resource/Ab_Klink,http://dbpedia.org/resource/Stellendam
http://dbpedia.org/resource/Ab_Rector,"http://dbpedia.org/resource/Cumberland_County,_Nova_Scotia"
http://dbpedia.org/resource/Abass_Bundu,http://dbpedia.org/resource/Port_Loko_District
http://dbpedia.org/resource/Abass_Bundu,http://dbpedia.org/resource/Gbinti
http://dbpedia.org/resource/Abbas_Adham,http://dbpedia.org/resource/Tabriz
http://dbpedia.org/resource/Abbas_Araghchi,http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abbas_Fallahi_Babajan,http://dbpedia.org/resource/Ahar
http://dbpedia.org/resource/Abd_al-Karim_Qasim,http://dbpedia.org/resource/Baghdad
http://dbpedia.org/resource/Abdallah_Djaballah,http://dbpedia.org/resource/Skikda
http://dbpedia.org/resource/Abdallah_El-Yafi,http://dbpedia.org/resource/Beirut
http://dbpedia.org/resource/Abdalá_Bucaram,http://dbpedia.org/resource/Guayaquil
http://dbpedia.org/resource/Abdel_Hamid_al-Sarraj,http://dbpedia.org/resource/Hama
http://dbpedia.org/resource/Abdel_Rahman_Swar_al-Dahab,http://dbpedia.org/resource/Omdurman
http://dbpedia.org/resource/Abdelaziz_Belkhadem,http://dbpedia.org/resource/Laghouat_Province
http://dbpedia.org/resource/Abdelaziz_Belkhadem,http://dbpedia.org/resource/Aflou
http://dbpedia.org/resource/Abdelhamid_Sharaf,http://dbpedia.org/resource/Baghdad
http://dbpedia.org/resource/Abdellatif_Filali,http://dbpedia.org/resource/Beni_Mellal
http://dbpedia.org/resource/Abdellatif_Filali,"http://dbpedia.org/resource/Fez,_Morocco"
http://dbpedia.org/resource/Abdelmalek_Benhabyles,http://dbpedia.org/resource/Beni_Aziz
http://dbpedia.org/resource/Abderrahmane_Farès,http://dbpedia.org/resource/Béjaïa_Province
http://dbpedia.org/resource/Abderrahmane_Farès,"http://dbpedia.org/resource/Amalou,_Algeria"
http://dbpedia.org/resource/Abderrahmane_Youssoufi,http://dbpedia.org/resource/Tangier
http://dbpedia.org/resource/Abdessalam_Jalloud,http://dbpedia.org/resource/Mizda
http://dbpedia.org/resource/Abdihakim_Abdullahi_Haji_Omar,http://dbpedia.org/resource/Buuhoodle
http://dbpedia.org/resource/Abdilqadir_Ali_Omar,http://dbpedia.org/resource/Galguduud
http://dbpedia.org/resource/Abdiqasim_Salad_Hassan,http://dbpedia.org/resource/Galdogob
http://dbpedia.org/resource/Abdirahman_Duale_Beyle,http://dbpedia.org/resource/Awdal
http://dbpedia.org/resource/Abdirahman_Farole,http://dbpedia.org/resource/Eyl
http://dbpedia.org/resource/Abdirahman_Jama_Barre,http://dbpedia.org/resource/Luuq
http://dbpedia.org/resource/Abdirahman_Mohamed_Husen,http://dbpedia.org/resource/Galguduud
http://dbpedia.org/resource/Abdirashid_Ali_Shermarke,http://dbpedia.org/resource/Mudug
http://dbpedia.org/resource/Abdirashid_Ali_Shermarke,http://dbpedia.org/resource/Harardhere
http://dbpedia.org/resource/Abdisamad_Ali_Shire,http://dbpedia.org/resource/Taleh
http://dbpedia.org/resource/Abdol-Hossein_Farmanfarma,http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abdol_Majid_Mirza,http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abdolali_Bazargan,http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abdolhossein_Hazhir,http://dbpedia.org/resource/Kashan
http://dbpedia.org/resource/Abdollah_Nouri,http://dbpedia.org/resource/Isfahan
http://dbpedia.org/resource/Abdollah_Nouri,http://dbpedia.org/resource/Mazandaran_Province
http://dbpedia.org/resource/Abdollah_Ramezanzadeh,http://dbpedia.org/resource/Tehran
http://dbpedia.org/resource/Abdollah_Ramezanzadeh,http://dbpedia.org/resource/Dogonbadan
http://dbpedia.org/resource/Abdoulaye_Touré,http://dbpedia.org/resource/Kankan
http://dbpedia.org/resource/Abdujalil_Samadov,http://dbpedia.org/resource/Khujand
http://dbpedia.org/resource/Abdul-Halim_Sadulayev,"http://dbpedia.org/resource/Argun,_Chechen_Republic"
http://dbpedia.org/resource/AbdulWahab_Raweh,http://dbpedia.org/resource/Taiz
http://dbpedia.org/resource/Abdul_Akbar_Khan,http://dbpedia.org/resource/Khyber_Pakhtunkhwa
http://dbpedia.org/resource/Abdul_Akbar_Khan,http://dbpedia.org/resource/Mardan
http://dbpedia.org/resource/Abdul_Ali_Mazari,http://dbpedia.org/resource/Balkh
http://dbpedia.org/resource/Abdul_Aziz_Shamsuddin,http://dbpedia.org/resource/Gopeng
http://dbpedia.org/resource/Abdul_Ghafoor_Ahmed,http://dbpedia.org/resource/Bareilly
http://dbpedia.org/resource/Abdul_Ghani_Othman,http://dbpedia.org/resource/Muar_(town)
http://dbpedia.org/resource/Abdul_Ghani_Othman,http://dbpedia.org/resource/Ledang_District
http://dbpedia.org/resource/Abdul_Halim_Khaddam,http://dbpedia.org/resource/Baniyas
http://dbpedia.org/resource/Abdul_Haq_Shafaq,http://dbpedia.org/resource/Sar-e_Pol_Province
http://dbpedia.org/resource/Abdul_Jalil_(Bangladesh_politician),http://dbpedia.org/resource/Naogaon
http://dbpedia.org/resource/Abdul_Jamil_Khan,http://dbpedia.org/resource/Mansehra
http://dbpedia.org/resource/Abdul_Karim_Brahui,http://dbpedia.org/resource/Nimruz_Province
http://dbpedia.org/resource/Abdul_Karim_al-Kabariti,http://dbpedia.org/resource/Amman
http://dbpedia.org/resource/Abdul_Qadir_(Afghan_communist),http://dbpedia.org/resource/Herat
http://dbpedia.org/resource/Abdul_Qadir_(Afghan_leader),http://dbpedia.org/resource/Jalalabad
http://dbpedia.org/resource/Abdul_Qadir_Fitrat,http://dbpedia.org/resource/Badakhshan_Province
http://dbpedia.org/resource/Abdul_Qadir_Patel,http://dbpedia.org/resource/Karachi
http://dbpedia.org/resource/Abdul_Qadir_Patel,http://dbpedia.org/resource/Sindh
http://dbpedia.org/resource/Abdul_Qadir_al-Badri,"http://dbpedia.org/resource/Abyar,_Libya"
http://dbpedia.org/resource/Abdul_Qayyum_Khan,http://dbpedia.org/resource/Chitral
http://dbpedia.org/resource/Abdul_Qayyum_Khan,http://dbpedia.org/resource/Peshawar
http://dbpedia.org/resource/Abdul_Rahim_Hatif,http://dbpedia.org/resource/Kandahar
http://dbpedia.org/resource/Abdul_Rahman_Dahlan,http://dbpedia.org/resource/Sabah
http://dbpedia.org/resource/Abdul_Rahman_Saleh_(prosecutor),http://dbpedia.org/resource/Pekalongan
http://dbpedia.org/resource/Abdul_Serry-Kamal,http://dbpedia.org/resource/Bombali_District
http://dbpedia.org/resource/Abdul_Serry-Kamal,http://dbpedia.org/resource/Makeni
http://dbpedia.org/resource/Abdul_Zahir_(Afghan_Prime_Minister),http://dbpedia.org/resource/Laghman_Province
http://dbpedia.org/resource/Abdulfatah_Ahmed,http://dbpedia.org/resource/Kwara_State
http://dbpedia.org/resource/Abdulkadir_Abdi_Hashi,http://dbpedia.org/resource/Galkayo
http://dbpedia.org/resource/Abdulkerim_Abbas,http://dbpedia.org/resource/Karakol
http://dbpedia.org/resource/Abdullah_Atfeh,http://dbpedia.org/resource/Damascus
http://dbpedia.org/resource/Abdullah_Atfeh,http://dbpedia.org/resource/Khirbet_Ghazaleh
http://dbpedia.org/resource/Abdullah_Wardak,http://dbpedia.org/resource/Maidan_Wardak_Province
http://dbpedia.org/resource/Abdullahi_Adamu,http://dbpedia.org/resource/Nasarawa
http://dbpedia.org/resource/Abdullahi_Adamu,http://dbpedia.org/resource/Keffi
http://dbpedia.org/resource/Abdullahi_Ahmed_Addow,http://dbpedia.org/resource/Barawa
http://dbpedia.org/resource/Abdullahi_Ahmed_Jama,http://dbpedia.org/resource/Erigavo
http://dbpedia.org/resource/Abdullahi_Issa,http://dbpedia.org/resource/Afgooye
