museum||place
http://dbpedia.org/resource/%C3%85land_Maritime_Museum||http://dbpedia.org/resource/Mariehamn
http://dbpedia.org/resource/%C3%85land_Maritime_Museum||http://dbpedia.org/resource/%C3%85land_Islands
http://dbpedia.org/resource/%C3%85land_Museum||http://dbpedia.org/resource/Mariehamn
http://dbpedia.org/resource/%C3%85land_Museum||http://dbpedia.org/resource/%C3%85land_Islands
http://dbpedia.org/resource/%C3%87aml%C4%B1k_Railway_Museum||http://dbpedia.org/resource/%C4%B0zmir_Province
http://dbpedia.org/resource/%C3%87aml%C4%B1k_Railway_Museum||http://dbpedia.org/resource/Sel%C3%A7uk
http://dbpedia.org/resource/%C3%87aml%C4%B1k_Railway_Museum||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%87engelhan_Rahmi_M._Ko%C3%A7_Museum||http://dbpedia.org/resource/Ankara
http://dbpedia.org/resource/%C3%87engelhan_Rahmi_M._Ko%C3%A7_Museum||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C3%96sterreichische_Galerie_Belvedere||http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/%C3%96sterreichische_Galerie_Belvedere||http://dbpedia.org/resource/Austria
http://dbpedia.org/resource/%C3%9Cbersee-Museum_Bremen||http://dbpedia.org/resource/Bremen
http://dbpedia.org/resource/%C4%B0stanbul_Modern||http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/%C4%B0stanbul_Modern||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C4%B0stanbul_Modern||http://dbpedia.org/resource/Tophane
http://dbpedia.org/resource/%C4%B0stanbul_Toy_Museum||http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/%C4%B0stanbul_Toy_Museum||http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/%C4%B0stanbul_Toy_Museum||http://dbpedia.org/resource/G%C3%B6ztepe,_Istanbul
http://dbpedia.org/resource/%C5%8Cta-juku_Nakasend%C5%8D_Museum||http://dbpedia.org/resource/Japan
http://dbpedia.org/resource/%C5%8Cta-juku_Nakasend%C5%8D_Museum||http://dbpedia.org/resource/Gifu_Prefecture
http://dbpedia.org/resource/%C5%8Cta-juku_Nakasend%C5%8D_Museum||http://dbpedia.org/resource/Minokamo,_Gifu
http://dbpedia.org/resource/'Ksan||http://dbpedia.org/resource/Hazelton,_British_Columbia
http://dbpedia.org/resource/'Ksan||http://dbpedia.org/resource/Bulkley_River
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum||http://dbpedia.org/resource/Norfolk
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum||http://dbpedia.org/resource/Diss
http://dbpedia.org/resource/100th_Bomb_Group_Memorial_Museum||http://dbpedia.org/resource/Dickleburgh
http://dbpedia.org/resource/12_(Vancouver)_Service_Company__12_Service_Battalion_Museum__1||http://dbpedia.org/resource/Richmond,_British_Columbia
http://dbpedia.org/resource/12_(Vancouver)_Service_Company__12_Service_Battalion_Museum__1||http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/12e_R%C3%A9giment_blind%C3%A9_du_Canada__Trois-Rivi%C3%A8res_Military_Museum__1||http://dbpedia.org/resource/Trois-Rivi%C3%A8res
http://dbpedia.org/resource/12e_R%C3%A9giment_blind%C3%A9_du_Canada__Trois-Rivi%C3%A8res_Military_Museum__1||http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1||http://dbpedia.org/resource/Vancouver
http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1||http://dbpedia.org/resource/Bessborough_Armoury
http://dbpedia.org/resource/15th_Field_Artillery_Regiment_(Canada)__15th_Field_Regiment,_Royal_Canadian_Artillery_Muse__1||http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/1812_Homestead_Farm_and_Museum||http://dbpedia.org/resource/Willsboro,_New_York
