(48.869458282, 2.24771343792);Sequoiadendron;giganteum;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;PARIS 16E ARRDT;511.0;28.0;12734;Sequoia
(48.8648374901, 2.36062553598);Corylus;colurna;SQUARE DU TEMPLE / 50 RUE DE BRETAGNE;PARIS 3E ARRDT;223.0;25.0;129794;Noisetier de Byzance
(48.8319997987, 2.32583007025);Cedrus;libani;SQUARE DE L ASPIRAND DUNAND / 20 RUE SAILLARD;PARIS 14E ARRDT;131.0;17.0;149340;Cèdre
(48.8587642227, 2.29551496343);Fagus;sylvatica;JARDIN DU CHAMP DE MARS;PARIS 7E ARRDT;194.0;7.0;154524;Hêtre
(48.8819364512, 2.39826376533);Fraxinus;excelsior;SQUARE DE LA BUTTE DU CHAPEAU ROUGE / 11 BOULEVARD D ALGERIE;PARIS 19E ARRDT;385.0;24.0;167206;Frêne
(48.8704055251, 2.24852119162);Platanus;orientalis;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;PARIS 16E ARRDT;221.0;24.0;180451;Platane
(48.887350672, 2.3160147001);Zelkova;carpinifolia;SQUARE DES BATIGNOLLES;PARIS 17E ARRDT;310.0;30.0;182303;Orme de Sibérie
(48.8852311185, 2.3427055876);Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL;PARIS 18E ARRDT;409.0;31.0;195613;Pterocarya
(48.872641762, 2.28136402859);Zelkova;carpinifolia;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;415.0;26.0;196033;Orme de Sibérie
(48.857749011, 2.33940394029);Salix;babylonica;QUAI DE L HORLOGE;PARIS 1ER ARRDT;120.0;14.0;196812;Saule
(48.8946546396, 2.32660621447);Fagus;sylvatica;SQUARE DES EPINETTES;PARIS 17E ARRDT;355.0;28.0;201119;Hêtre
(48.8493165016, 2.34518635839);Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;PARIS 5E ARRDT;450.0;24.0;208384;Platane
(48.857837941, 2.29331862801);Platanus;x hispanica;JARDIN DU CHAMP DE MARS / C01;PARIS 7E ARRDT;695.0;27.0;211392;Platane
(48.8569376084, 2.3366340031);Catalpa;bignonioides;SQUARE GABRIEL PIERNE;PARIS 6E ARRDT;275.0;15.0;213190;Catalpa
