artwork,author
http://dbpedia.org/resource/At_the_Villa_Rose_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_Four_Feathers,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Miranda_of_the_Balcony,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Running_Water_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/A_Romance_of_Wastdale_(novel),http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/The_House_in_Lordship_Lane,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/They_Wouldn't_Be_Chessmen,http://dbpedia.org/resource/A._E._W._Mason
http://dbpedia.org/resource/Slan,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Null-A_Three,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Pawns_of_Null-A,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Mixed_Men,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Empire_of_the_Atom,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_World_of_Null-A,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Voyage_of_the_Space_Beagle,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Universe_Maker,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/M33_in_Andromeda,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Dear_Pen_Pal,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Weapon_Shops_of_Isher,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Book_of_Ptath,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Weapon_Shop,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Vault_of_the_Beast,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Wizard_of_Linn,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_House_That_Stood_Still,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Children_of_Tomorrow,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Rogue_Ship,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Monsters_(collection),http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Out_of_the_Unknown_(collection),http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/The_Weapon_Makers,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Masters_of_Time,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Destination:_Universe!,http://dbpedia.org/resource/A._E._van_Vogt
http://dbpedia.org/resource/Quest_for_the_Future,http://dbpedia.org/resource/A._E._van_Vogt
"http://dbpedia.org/resource/England,_Their_England",http://dbpedia.org/resource/A._G._Macdonell
http://dbpedia.org/resource/Krishnamacharya:_His_Life_and_Teachings,http://dbpedia.org/resource/A._G._Mohan
http://dbpedia.org/resource/The_Council_of_Nicaea_(painting),http://dbpedia.org/resource/A._Galik
http://dbpedia.org/resource/O._Henry_Playhouse,http://dbpedia.org/resource/A._I._Bezzerides
"http://dbpedia.org/resource/Language,_Truth,_and_Logic",http://dbpedia.org/resource/A._J._Ayer
http://dbpedia.org/resource/Spy_High,http://dbpedia.org/resource/A._J._Butcher
http://dbpedia.org/resource/Adventures_in_Two_Worlds,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/A_Song_of_Sixpence,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Kaleidoscope_in_%22K%22,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Northern_Light_(novel),http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Jupiter_Laughs,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Hatter's_Castle,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Green_Years,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Minstrel_Boy_(novel),http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/The_Valorous_Years,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Grand_Canary_(novel),http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Beyond_This_Place,http://dbpedia.org/resource/A._J._Cronin
http://dbpedia.org/resource/Shannon's_Way,http://dbpedia.org/resource/A._J._Cronin
