museum,place
http://dbpedia.org/resource/A_Christmas_Story_House,http://dbpedia.org/resource/Cleveland
http://dbpedia.org/resource/Aathal_Dinosaur_Museum,http://dbpedia.org/resource/Seegräben
http://dbpedia.org/resource/Abasuba_Community_Peace_Museum,http://dbpedia.org/resource/Mfangano_Island
http://dbpedia.org/resource/Abbatija_Tad-Dejr,"http://dbpedia.org/resource/Rabat,_Malta"
http://dbpedia.org/resource/Abby_Aldrich_Rockefeller_Folk_Art_Museum,"http://dbpedia.org/resource/Williamsburg,_Virginia"
http://dbpedia.org/resource/Abelló_Museum,http://dbpedia.org/resource/Mollet_del_Vallès
http://dbpedia.org/resource/Aberdeen_Cultural_Centre,http://dbpedia.org/resource/Moncton
http://dbpedia.org/resource/Aberdeen_Cultural_Centre,http://dbpedia.org/resource/New_Brunswick
http://dbpedia.org/resource/Aberdeen_Cultural_Centre,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Aberystwyth_University_Ceramics_Collection,http://dbpedia.org/resource/Aberystwyth
http://dbpedia.org/resource/Aberystwyth_University_Ceramics_Collection,http://dbpedia.org/resource/Wales
http://dbpedia.org/resource/Abingdon_County_Hall_Museum,http://dbpedia.org/resource/Oxfordshire
http://dbpedia.org/resource/Abingdon_County_Hall_Museum,http://dbpedia.org/resource/Abingdon-on-Thames
http://dbpedia.org/resource/Abingdon_County_Hall_Museum,http://dbpedia.org/resource/United_Kingdom
http://dbpedia.org/resource/Abington_Art_Center,"http://dbpedia.org/resource/Montgomery_County,_Pennsylvania"
http://dbpedia.org/resource/Abita_Mystery_House,"http://dbpedia.org/resource/Abita_Springs,_Louisiana"
http://dbpedia.org/resource/Above_&_Beyond_Children's_Museum,"http://dbpedia.org/resource/Sheboygan,_Wisconsin"
http://dbpedia.org/resource/Above_&_Beyond_Children's_Museum,http://dbpedia.org/resource/Wisconsin
http://dbpedia.org/resource/Above_&_Beyond_Children's_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Academia_Mexicana_de_Genealogía_y_Heráldica,http://dbpedia.org/resource/Mexico
http://dbpedia.org/resource/Academia_Mexicana_de_Genealogía_y_Heráldica,http://dbpedia.org/resource/Mexico_City
http://dbpedia.org/resource/Academia_Rossica,http://dbpedia.org/resource/Brewer_Street
http://dbpedia.org/resource/Academia_Rossica,http://dbpedia.org/resource/London
http://dbpedia.org/resource/Academia_de_Genealogía_y_Heráldica_Mota-Padilla,http://dbpedia.org/resource/Guadalajara
http://dbpedia.org/resource/Academia_de_Genealogía_y_Heráldica_Mota-Padilla,http://dbpedia.org/resource/Mexico
http://dbpedia.org/resource/Academy_of_Natural_Sciences_of_Drexel_University,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Academy_of_Natural_Sciences_of_Drexel_University,http://dbpedia.org/resource/Philadelphia
http://dbpedia.org/resource/Aceh_Tsunami_Museum,http://dbpedia.org/resource/Banda_Aceh
http://dbpedia.org/resource/Aceh_Tsunami_Museum,http://dbpedia.org/resource/Indonesia
http://dbpedia.org/resource/Ackland_Art_Museum,"http://dbpedia.org/resource/Chapel_Hill,_North_Carolina"
http://dbpedia.org/resource/Acropolis_Museum,http://dbpedia.org/resource/Dionysiou_Areopagitou_Street
http://dbpedia.org/resource/Acropolis_Museum,http://dbpedia.org/resource/Greece
http://dbpedia.org/resource/Acropolis_Museum,http://dbpedia.org/resource/Athens
"http://dbpedia.org/resource/Adam_Mickiewicz_Museum,_Istanbul",http://dbpedia.org/resource/Istanbul
"http://dbpedia.org/resource/Adam_Mickiewicz_Museum,_Istanbul",http://dbpedia.org/resource/Turkey
"http://dbpedia.org/resource/Adam_Mickiewicz_Museum,_Istanbul",http://dbpedia.org/resource/Beyoğlu
"http://dbpedia.org/resource/Adam_Mickiewicz_Museum_of_Literature,_Warsaw",http://dbpedia.org/resource/Warsaw
"http://dbpedia.org/resource/Adam_Mickiewicz_Museum_of_Literature,_Warsaw",http://dbpedia.org/resource/Poland
http://dbpedia.org/resource/Adana_Archaeology_Museum,http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/Adana_Archaeology_Museum,http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Adana_Cinema_Museum,http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/Adana_Cinema_Museum,http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Adana_Ethnography_Museum,http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/Adana_Ethnography_Museum,http://dbpedia.org/resource/Turkey
http://dbpedia.org/resource/Addington_Long_Barrow,http://dbpedia.org/resource/Kent
