artwork||museum
http://dbpedia.org/resource/Les_fleurs_d%C3%A9daign%C3%A9es||http://dbpedia.org/resource/National_Gallery_of_Australia
http://dbpedia.org/resource/Les_orangers||http://dbpedia.org/resource/Museum_of_Fine_Arts,_Houston
http://dbpedia.org/resource/Les_raboteurs_de_parquet||http://dbpedia.org/resource/Mus%C3%A9e_d'Orsay
http://dbpedia.org/resource/Les_toits_de_Collioure||http://dbpedia.org/resource/Hermitage_Museum
http://dbpedia.org/resource/Levitated_Mass||http://dbpedia.org/resource/Los_Angeles_County_Museum_of_Art
http://dbpedia.org/resource/Liberty_Displaying_the_Arts_and_Sciences||http://dbpedia.org/resource/Library_Company_of_Philadelphia
http://dbpedia.org/resource/Liberty_Leading_the_People||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Life_Underground||http://dbpedia.org/resource/New_York_City_Subway
http://dbpedia.org/resource/Life_Underground||http://dbpedia.org/resource/14th_Street_%E2%80%93_Eighth_Avenue_(New_York_City_Subway)
http://dbpedia.org/resource/Lilacs_in_a_Window||http://dbpedia.org/resource/Metropolitan_Museum_of_Art
http://dbpedia.org/resource/Little_Big_Painting||http://dbpedia.org/resource/Whitney_Museum_of_American_Art
http://dbpedia.org/resource/Little_Girl_in_a_Blue_Armchair||http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Little_Machine_Constructed_by_Minimax_Dadamax_in_Person||http://dbpedia.org/resource/Peggy_Guggenheim_Collection
http://dbpedia.org/resource/Living_Still_Life||http://dbpedia.org/resource/Salvador_Dali_Museum
http://dbpedia.org/resource/Lobster_Trap_and_Fish_Tail||http://dbpedia.org/resource/Museum_of_Modern_Art
http://dbpedia.org/resource/Lodgepole_(sculpture)||http://dbpedia.org/resource/Lynden_Sculpture_Garden
http://dbpedia.org/resource/Look_Mickey||http://dbpedia.org/resource/National_Gallery_of_Art
http://dbpedia.org/resource/Lord_Howe's_action,_or_the_Glorious_First_of_June||http://dbpedia.org/resource/Queen's_House
http://dbpedia.org/resource/Lorenzo_Monaco||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Lost_Illusions_(painting)||http://dbpedia.org/resource/Walters_Art_Museum
http://dbpedia.org/resource/Lost_portrait_of_Charles_Edward_Stuart||http://dbpedia.org/resource/Gosford_House
http://dbpedia.org/resource/Love's_Messenger||http://dbpedia.org/resource/Delaware_Art_Museum
http://dbpedia.org/resource/Love_and_the_Maiden||http://dbpedia.org/resource/Fine_Arts_Museums_of_San_Francisco
http://dbpedia.org/resource/Luminary_(Laramore)||http://dbpedia.org/resource/Indiana_University_%E2%80%93_Purdue_University_Indianapolis
