author||place
http://dbpedia.org/resource/%C3%81d%C3%A1m_K%C3%B3sa||http://dbpedia.org/resource/Budapest
http://dbpedia.org/resource/%C3%81d%C3%A1m_R%C3%A9csey||http://dbpedia.org/resource/Ighiu
http://dbpedia.org/resource/%C3%81kos_Kriza||http://dbpedia.org/resource/Oradea
http://dbpedia.org/resource/%C3%81lvaro_Ara%C3%BAjo_Castro||http://dbpedia.org/resource/Magdalena_Department
http://dbpedia.org/resource/%C3%81lvaro_Ara%C3%BAjo_Castro||http://dbpedia.org/resource/Santa_Marta
http://dbpedia.org/resource/%C3%81lvaro_Garc%C3%ADa_Linera||http://dbpedia.org/resource/Cochabamba
http://dbpedia.org/resource/%C3%81lvaro_Obreg%C3%B3n||http://dbpedia.org/resource/Sonora
http://dbpedia.org/resource/%C3%81lvaro_Obreg%C3%B3n||http://dbpedia.org/resource/Navojoa
http://dbpedia.org/resource/%C3%81lvaro_Uribe||http://dbpedia.org/resource/Antioquia_Department
http://dbpedia.org/resource/%C3%81lvaro_Uribe||http://dbpedia.org/resource/Medell%C3%ADn
http://dbpedia.org/resource/%C3%81ngel_Aguirre_Rivero||http://dbpedia.org/resource/Guerrero
http://dbpedia.org/resource/%C3%81ngel_Aguirre_Rivero||http://dbpedia.org/resource/Ometepec
http://dbpedia.org/resource/%C3%81ngel_C%C3%A9sar_Mendoza_Ar%C3%A1mburo||http://dbpedia.org/resource/La_Paz
http://dbpedia.org/resource/%C3%81ngel_C%C3%A9sar_Mendoza_Ar%C3%A1mburo||http://dbpedia.org/resource/Baja_California_Sur
http://dbpedia.org/resource/%C3%81ngel_Dolores_Rojas||http://dbpedia.org/resource/San_Juan,_Argentina
http://dbpedia.org/resource/%C3%81ngel_Maza||http://dbpedia.org/resource/La_Rioja,_Argentina
http://dbpedia.org/resource/%C3%81ngel_Rozas||http://dbpedia.org/resource/General_Pinedo,_Chaco
http://dbpedia.org/resource/%C3%81rp%C3%A1d_G%C3%B6ncz||http://dbpedia.org/resource/Budapest
http://dbpedia.org/resource/%C3%81rp%C3%A1d_Szakasits||http://dbpedia.org/resource/Budapest
http://dbpedia.org/resource/%C3%85sa_Romson||http://dbpedia.org/resource/Stockholm
http://dbpedia.org/resource/%C3%89douard-Raymond_Fabre||http://dbpedia.org/resource/Montreal
http://dbpedia.org/resource/%C3%89douard_Bamberger||http://dbpedia.org/resource/Strasbourg
http://dbpedia.org/resource/%C3%89douard_Grinda||http://dbpedia.org/resource/Nice
http://dbpedia.org/resource/%C3%89douard_Mortier,_duc_de_Tr%C3%A9vise||http://dbpedia.org/resource/Le_Cateau-Cambr%C3%A9sis
http://dbpedia.org/resource/%C3%89douard_S._L%C3%A9ger||http://dbpedia.org/resource/Memramcook,_New_Brunswick
http://dbpedia.org/resource/%C3%89laine_Michaud||http://dbpedia.org/resource/Longueuil
http://dbpedia.org/resource/%C3%89lida_Vigo||http://dbpedia.org/resource/San_Juan_Province,_Argentina
http://dbpedia.org/resource/%C3%89lie,_duc_Decazes||http://dbpedia.org/resource/Saint-Martin-de-Laye
http://dbpedia.org/resource/%C3%89lie_Bloncourt||http://dbpedia.org/resource/Guadeloupe
http://dbpedia.org/resource/%C3%89lie_Bloncourt||http://dbpedia.org/resource/Basse-Terre
http://dbpedia.org/resource/%C3%89mile_Combes||http://dbpedia.org/resource/Roquecourbe
http://dbpedia.org/resource/%C3%89mile_Fortin||http://dbpedia.org/resource/L%C3%A9vis,_Quebec
http://dbpedia.org/resource/%C3%89mile_Lahoud||http://dbpedia.org/resource/Beirut
http://dbpedia.org/resource/%C3%89mile_Muller||http://dbpedia.org/resource/Mulhouse
http://dbpedia.org/resource/%C3%89mile_Ollivier||http://dbpedia.org/resource/Marseille
http://dbpedia.org/resource/%C3%89milien_Morissette||http://dbpedia.org/resource/Mont-Joli
http://dbpedia.org/resource/%C3%89mmanuel_d'Anjou||http://dbpedia.org/resource/Saint-Fabien,_Quebec
http://dbpedia.org/resource/%C3%89ric_Diard||http://dbpedia.org/resource/Marseille
http://dbpedia.org/resource/%C3%89tienne_Cl%C3%A9mentel||http://dbpedia.org/resource/Clermont-Ferrand
http://dbpedia.org/resource/%C3%89tienne_Cl%C3%A9mentel||http://dbpedia.org/resource/Puy-de-D%C3%B4me
http://dbpedia.org/resource/%C3%89tienne_de_Bor%C3%A9||http://dbpedia.org/resource/Kaskaskia,_Illinois
http://dbpedia.org/resource/%C3%8Dtalo_Argentino_L%C3%BAder||http://dbpedia.org/resource/Rafaela
http://dbpedia.org/resource/%C3%93l%C3%ADna_%C3%9Eorvar%C3%B0ard%C3%B3ttir||http://dbpedia.org/resource/Reykjav%C3%ADk
http://dbpedia.org/resource/%C3%93scar_Berger||http://dbpedia.org/resource/Guatemala_City
http://dbpedia.org/resource/%C3%93scar_Carmona||http://dbpedia.org/resource/Lisbon
http://dbpedia.org/resource/%C3%93scar_Humberto_Mej%C3%ADa_Victores||http://dbpedia.org/resource/Guatemala_City
http://dbpedia.org/resource/%C3%96mer_%C3%87elik||http://dbpedia.org/resource/Adana
http://dbpedia.org/resource/%C3%96mer_Din%C3%A7er||http://dbpedia.org/resource/Karaman
http://dbpedia.org/resource/%C3%96sten_Und%C3%A9n||http://dbpedia.org/resource/V%C3%A4rmland_County
http://dbpedia.org/resource/%C3%96zden_%C3%96rnek||http://dbpedia.org/resource/%C4%B0zmit
http://dbpedia.org/resource/%C3%96zhan_Canayd%C4%B1n||http://dbpedia.org/resource/Bursa
http://dbpedia.org/resource/%C3%98ystein_Djupedal||http://dbpedia.org/resource/Oslo
http://dbpedia.org/resource/%C3%9Cnal_Aysal||http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/%C3%9E%C3%B3r_Saari||http://dbpedia.org/resource/Miami_Beach,_Florida
http://dbpedia.org/resource/%C3%9E%C3%B3r_Saari||http://dbpedia.org/resource/Florida
http://dbpedia.org/resource/%C4%8Aensu_Tabone||http://dbpedia.org/resource/Victoria,_Gozo
http://dbpedia.org/resource/%C4%8Aensu_Tabone||http://dbpedia.org/resource/Gozo
http://dbpedia.org/resource/%C4%90%E1%BB%97_M%C6%B0%E1%BB%9Di||http://dbpedia.org/resource/Thanh_Tr%C3%AC_District
http://dbpedia.org/resource/%C4%90or%C4%91e_Simi%C4%87||http://dbpedia.org/resource/Belgrade
http://dbpedia.org/resource/%C4%B0brahim_Bilgen||http://dbpedia.org/resource/Batman,_Turkey
http://dbpedia.org/resource/%C4%B0dris_G%C3%BCll%C3%BCce||http://dbpedia.org/resource/Erzurum_Province
http://dbpedia.org/resource/%C4%B0dris_Naim_%C5%9Eahin||http://dbpedia.org/resource/Ordu
http://dbpedia.org/resource/%C4%B0nal_Batu||http://dbpedia.org/resource/Ankara
http://dbpedia.org/resource/%C4%B0smail_Cem_%C4%B0pek%C3%A7i||http://dbpedia.org/resource/Istanbul
http://dbpedia.org/resource/%C4%B0smet_%C4%B0n%C3%B6n%C3%BC||http://dbpedia.org/resource/%C4%B0zmir
http://dbpedia.org/resource/%C4%B0smet_Y%C4%B1lmaz||http://dbpedia.org/resource/Sivas_Province
http://dbpedia.org/resource/%C4%B0smet_Y%C4%B1lmaz||http://dbpedia.org/resource/G%C3%BCr%C3%BCn
http://dbpedia.org/resource/%C5%81ukasz_Abgarowicz||http://dbpedia.org/resource/Bydgoszcz
http://dbpedia.org/resource/%C5%9E%C3%BCkr%C3%BC_Sar%C4%B1%C4%B1%C5%9F%C4%B1k||http://dbpedia.org/resource/Konya
http://dbpedia.org/resource/%C5%9E%C3%BCkr%C3%BC_Saraco%C4%9Flu||http://dbpedia.org/resource/%C3%96demi%C5%9F
http://dbpedia.org/resource/%C5%9Eamil_Tayyar||http://dbpedia.org/resource/Gaziantep
http://dbpedia.org/resource/%C5%9Eemsettin_G%C3%BCnaltay||http://dbpedia.org/resource/Erzincan_Province
http://dbpedia.org/resource/%C5%9Eemsettin_G%C3%BCnaltay||http://dbpedia.org/resource/Kemaliye
http://dbpedia.org/resource/%C5%9Eerafettin_El%C3%A7i||http://dbpedia.org/resource/Cizre
http://dbpedia.org/resource/%C5%9Eerafettin_El%C3%A7i||http://dbpedia.org/resource/%C5%9E%C4%B1rnak_Province
http://dbpedia.org/resource/%C5%9Etefan_Pirogan||http://dbpedia.org/resource/R%C4%83doaia
http://dbpedia.org/resource/%C5%9Etefan_Sec%C4%83reanu||http://dbpedia.org/resource/Chioselia_Mare
http://dbpedia.org/resource/%C5%BDarko_Domljan||http://dbpedia.org/resource/Imotski
http://dbpedia.org/resource/%C5%BDeljka_Cvijanovi%C4%87||http://dbpedia.org/resource/Tesli%C4%87
http://dbpedia.org/resource/%C5%BDivko_Radi%C5%A1i%C4%87||http://dbpedia.org/resource/Prijedor
http://dbpedia.org/resource/%C8%98tefan_Ciobanu||http://dbpedia.org/resource/Talmaza
http://dbpedia.org/resource/%C8%98tefan_Ur%C3%A2tu||http://dbpedia.org/resource/Ustia,_Dub%C4%83sari
http://dbpedia.org/resource/A._Amirthalingam||http://dbpedia.org/resource/Vaddukoddai
http://dbpedia.org/resource/A._Amirthalingam||http://dbpedia.org/resource/Pannagam
http://dbpedia.org/resource/A._C._Clemons||http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/A._C._Clemons||http://dbpedia.org/resource/Harris_County,_Texas
http://dbpedia.org/resource/A._C._Gibbs||http://dbpedia.org/resource/Cattaraugus_County,_New_York
http://dbpedia.org/resource/A._DeWade_Langley||http://dbpedia.org/resource/Custer_County,_Oklahoma
http://dbpedia.org/resource/A._Homer_Byington||http://dbpedia.org/resource/Herkimer_(village),_New_York
http://dbpedia.org/resource/A._Homer_Byington||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._J._McNamara||http://dbpedia.org/resource/Louisiana
http://dbpedia.org/resource/A._Jeff_McLemore||http://dbpedia.org/resource/Tennessee
http://dbpedia.org/resource/A._Jeff_McLemore||http://dbpedia.org/resource/Spring_Hill,_Tennessee
http://dbpedia.org/resource/A._Leonard_Allen||http://dbpedia.org/resource/Winnfield,_Louisiana
http://dbpedia.org/resource/A._M._M._Naushad||http://dbpedia.org/resource/Sammanthurai
http://dbpedia.org/resource/A._Piatt_Andrew||http://dbpedia.org/resource/La_Porte,_Indiana
http://dbpedia.org/resource/A._R._McCabe||http://dbpedia.org/resource/New_Westminster
http://dbpedia.org/resource/A._Raja||http://dbpedia.org/resource/Perambalur_district
http://dbpedia.org/resource/A._Raja||http://dbpedia.org/resource/Perambalur
http://dbpedia.org/resource/A._Ralph_Mollis||http://dbpedia.org/resource/North_Providence,_Rhode_Island
http://dbpedia.org/resource/A._Ross_Webster||http://dbpedia.org/resource/Duluth,_Minnesota
http://dbpedia.org/resource/A._Scott_Sloan||http://dbpedia.org/resource/Morrisville,_New_York
http://dbpedia.org/resource/A._Scott_Sloan||http://dbpedia.org/resource/New_York
http://dbpedia.org/resource/A._U._Fuimaono||http://dbpedia.org/resource/Faga'alu
http://dbpedia.org/resource/A._Victor_Donahey||http://dbpedia.org/resource/Tuscarawas_County,_Ohio
http://dbpedia.org/resource/A._W._Norblad||http://dbpedia.org/resource/Malm%C3%B6
